"CODGEO";"REG";"DEP";"ARR";"CV";"ZE2010";"LIBGEO";"P10_POP";"P99_POP";"D90_POP";"D82_POP";"D75_POP";"D68_POP";"SUPERF";"NAIS9910";"NAIS9099";"NAIS8290";"NAIS7582";"NAIS6875";"DECE9910";"DECE9099";"DECE8290";"DECE7582";"DECE6875";"NAIS11";"NAIS10";"NAIS09";"NAIS08";"NAIS07";"NAIS06";"NAIS05";"NAIS04";"NAIS03";"NAIS02";"NAIS01";"NAIS00";"NAIS99";"DECE11";"DECE10";"DECE09";"DECE08";"DECE07";"DECE06";"DECE05";"DECE04";"DECE03";"DECE02";"DECE01";"DECE00";"DECE99";"P10_POP0014";"P10_POP1529";"P10_POP3044";"P10_POP4559";"P10_POP6074";"P10_POP75P";"P99_POP0014";"P99_POP1529";"P99_POP3044";"P99_POP4559";"P99_POP6074";"P99_POP75P";"P10_POPH";"P10_H0014";"P10_H1529";"P10_H3044";"P10_H4559";"P10_H6074";"P10_H7589";"P10_H90P";"P10_H0019";"P10_H2064";"P10_H65P";"P10_POPF";"P10_F0014";"P10_F1529";"P10_F3044";"P10_F4559";"P10_F6074";"P10_F7589";"P10_F90P";"P10_F0019";"P10_F2064";"P10_F65P";"C10_POP15P";"C10_POP15P_CS1";"C10_POP15P_CS2";"C10_POP15P_CS3";"C10_POP15P_CS4";"C10_POP15P_CS5";"C10_POP15P_CS6";"C10_POP15P_CS7";"C10_POP15P_CS8";"C99_POP15P";"C99_POP15P_CS1";"C99_POP15P_CS2";"C99_POP15P_CS3";"C99_POP15P_CS4";"C99_POP15P_CS5";"C99_POP15P_CS6";"C99_POP15P_CS7";"C99_POP15P_CS8";"C10_H15P";"C10_H15P_CS1";"C10_H15P_CS2";"C10_H15P_CS3";"C10_H15P_CS4";"C10_H15P_CS5";"C10_H15P_CS6";"C10_H15P_CS7";"C10_H15P_CS8";"C10_F15P";"C10_F15P_CS1";"C10_F15P_CS2";"C10_F15P_CS3";"C10_F15P_CS4";"C10_F15P_CS5";"C10_F15P_CS6";"C10_F15P_CS7";"C10_F15P_CS8";"C10_POP1524";"C10_POP1524_CS1";"C10_POP1524_CS2";"C10_POP1524_CS3";"C10_POP1524_CS4";"C10_POP1524_CS5";"C10_POP1524_CS6";"C10_POP1524_CS7";"C10_POP1524_CS8";"C10_POP2554";"C10_POP2554_CS1";"C10_POP2554_CS2";"C10_POP2554_CS3";"C10_POP2554_CS4";"C10_POP2554_CS5";"C10_POP2554_CS6";"C10_POP2554_CS7";"C10_POP2554_CS8";"C10_POP55P";"C10_POP55P_CS1";"C10_POP55P_CS2";"C10_POP55P_CS3";"C10_POP55P_CS4";"C10_POP55P_CS5";"C10_POP55P_CS6";"C10_POP55P_CS7";"C10_POP55P_CS8"
"13211";"93";"13";"133";"1399";"9310";"Marseille 11e Arrondissement";57302;53520;51185;50757;44540;35435;34;7458;;;;;4172;;;;;706;689;701;701;657;696;633;686;621;645;718;734;666;391;407;380;434;419;371;397;367;388;367;363;347;339;10941;10725;11006;12861;7493;4276;11392;10388;12372;10279;6357;2732;27426;5537;5368;5178;6164;3494;1602;82;7781;16108;3537;29876;5404;5357;5827;6697;4000;2309;282;7528;17496;4853;46394;19;1415;3012;6338;9360;5247;10671;10331;42086;18;1311;2037;5281;8652;5605;7733;11449;21935;11;1071;1859;3038;2689;4426;4925;3916;24459;9;343;1153;3300;6672;821;5746;6415;7892;0;78;34;467;1335;934;0;5044;22934;8;1123;2497;5083;6965;3726;94;3438;15568;11;214;481;788;1060;588;10577;1849
"13212";"93";"13";"133";"1399";"9310";"Marseille 12e Arrondissement";59561;56404;55897;57928;59618;57450;14;6760;;;;;8063;;;;;663;693;679;663;572;655;576;572;618;573;612;652;588;659;661;671;722;758;686;724;690;803;739;759;772;739;9678;9332;11215;12137;9820;7380;9286;9511;11866;11085;8893;5763;27241;4925;4723;5173;5677;4262;2290;192;6729;15518;4994;32320;4752;4610;6042;6460;5558;4286;612;6462;17658;8200;49883;20;1732;4835;8162;7974;3430;15304;8427;47236;52;1700;4128;6636;7868;3416;12168;11268;22354;16;1294;2924;3624;2206;2983;6396;2910;27529;4;438;1911;4538;5768;447;8907;5517;6358;0;59;70;436;837;663;0;4293;22526;9;1347;3685;6573;6146;2466;115;2185;20999;11;325;1080;1153;992;300;15189;1949
"13213";"93";"13";"133";"1399";"9310";"Marseille 13e Arrondissement";90256;80174;78823;83517;82915;73640;28;13471;;;;;8345;;;;;1360;1341;1224;1307;1282;1310;1214;1185;1201;1222;1238;1198;1090;736;742;828;789;754;737;749;701;839;807;759;689;693;18951;19442;17465;16911;10520;6967;17010;16968;16931;13611;10191;5463;42934;9774;10124;8091;7858;4682;2292;112;13417;24468;5049;47322;9177;9318;9374;9052;5838;4011;552;12292;26994;8036;71298;24;1935;4217;9392;13389;8154;15673;18514;63394;48;1892;2388;6544;12271;8180;12748;19323;33165;4;1403;2557;4443;3719;6910;6707;7420;38133;19;532;1660;4949;9670;1243;8966;11094;14047;0;84;109;905;1810;1441;0;9698;34558;1;1531;3380;7429;10234;5909;128;5946;22694;23;320;728;1059;1345;804;15545;2870
"13214";"93";"13";"133";"1399";"9310";"Marseille 14e Arrondissement";60070;56755;56995;67552;70948;61769;16;10908;;;;;5075;;;;;1112;1043;1032;1025;1021;1048;1009;988;948;993;932;1013;899;414;452;478;410;436;454;461;450;499;486;469;464;468;13948;12509;11566;10453;6942;4652;12932;12753;11563;8797;7168;3542;28756;7284;6348;5315;4874;3180;1679;76;9784;15263;3709;31314;6664;6161;6251;5579;3761;2627;270;8915;17180;5219;46124;4;1163;1426;4055;7976;6587;9820;15091;44060;2;1037;1026;3468;8315;6701;8760;14751;21469;4;918;820;1856;2126;5470;4663;5612;24655;0;245;607;2199;5850;1117;5157;9479;9128;0;46;62;385;1061;860;0;6714;22175;0;874;1178;3241;6017;4951;78;5834;14820;4;243;186;429;898;776;9742;2543
"13215";"93";"13";"133";"1399";"9310";"Marseille 15e Arrondissement";79300;70885;74543;89229;96587;80311;17;13819;;;;;5882;;;;;1436;1314;1300;1322;1339;1363;1295;1280;1271;1250;1156;1198;1045;525;504;515;513;524;553;544;512;559;550;523;594;495;18563;15622;16010;13399;9515;6191;16101;14999;14737;10862;9946;4240;38543;9395;7705;7712;6620;4681;2318;112;12372;20869;5302;40757;9169;7917;8298;6778;4835;3474;287;11942;22054;6761;60736;39;1375;1328;4318;9835;9056;13516;21271;54510;8;1171;1018;3566;9821;9869;11337;17720;29161;36;1065;787;2234;2623;7827;7004;7586;31575;3;311;541;2084;7212;1229;6511;13685;10771;3;113;59;421;1291;1149;0;7734;30591;36;1102;998;3470;7743;7110;174;9958;19374;0;160;271;427;801;796;13341;3578
"13216";"93";"13";"133";"1399";"9310";"Marseille 16e Arrondissement";17133;16508;17243;18791;20619;24281;16;3797;;;;;2325;;;;;361;352;344;359;383;354;310;337;317;350;327;354;362;194;210;199;212;187;247;199;203;179;216;240;262;181;3319;3057;3269;3467;2233;1788;3143;3106;3491;2701;2578;1489;8075;1741;1495;1485;1710;1017;600;26;2388;4462;1224;9058;1578;1562;1784;1757;1216;1032;129;2117;5097;1844;13810;3;265;939;1767;2143;1709;3706;3276;13386;24;296;392;1224;2308;1980;3268;3894;6324;3;197;536;790;498;1457;1659;1185;7486;0;68;403;977;1645;252;2048;2092;2151;0;7;14;155;246;297;3;1429;6536;3;221;790;1445;1586;1241;15;1234;5124;0;37;135;168;311;171;3688;614
"69381";"82";"69";"691";"6999";"8214";"Lyon 1er Arrondissement";28755;26861;26570;25600;31187;41200;2;4827;;;;;1884;;;;;430;475;495;428;450;478;441;472;431;413;417;436;366;156;191;136;151;149;144;161;166;193;193;194;178;219;4096;9406;6798;4087;2574;1794;3926;8912;5927;3904;2389;1803;13795;2039;4354;3595;2019;1179;575;34;2851;9696;1248;14960;2057;5052;3203;2068;1395;969;216;3089;9864;2007;24674;12;712;5651;4711;3344;1409;3623;5212;22955;0;732;3904;3988;2988;1696;3560;6087;11765;12;495;3279;2104;1188;1100;1521;2065;12909;0;217;2371;2607;2156;309;2102;3147;5807;0;27;329;575;931;318;0;3626;13236;9;563;4707;3804;2182;912;17;1042;5632;3;123;614;332;231;178;3607;544
"69382";"82";"69";"691";"6999";"8214";"Lyon 2e Arrondissement";30103;27970;28602;29324;34416;42900;3;4135;;;;;2157;;;;;383;373;326;390;326;339;403;431;424;391;384;371;350;187;173;158;173;184;208;171;206;195;212;212;210;228;4291;9830;5926;4613;3154;2289;3890;8951;5288;4519;3057;2265;13938;2176;4394;2973;2240;1440;640;74;3108;9316;1514;16165;2114;5436;2953;2373;1715;1409;165;3484;10133;2549;25792;21;995;5001;4108;3490;1420;4171;6588;24108;12;980;3700;3108;3073;1176;4348;7711;11732;9;761;2949;1800;1211;1085;1655;2261;14061;12;233;2052;2308;2279;335;2515;4326;6913;0;27;345;658;890;296;0;4697;12024;16;687;3832;3100;2252;959;12;1167;6855;5;281;824;350;348;164;4159;724
"69383";"82";"69";"691";"6999";"8214";"Lyon 3e Arrondissement";96162;82504;70278;65105;74402;88800;6;16763;;;;;6745;;;;;1561;1615;1647;1583;1579;1569;1578;1580;1491;1530;1463;1386;1357;568;581;581;554;563;582;621;596;696;617;646;633;656;14632;29432;21828;14411;9262;6597;13249;23803;18107;12973;8518;5854;45077;7423;13062;11264;6745;4358;2095;130;10108;30360;4609;51085;7209;16370;10564;7667;4904;3844;527;11089;32850;7146;81531;25;1941;16328;15427;12406;5406;13701;16297;69440;4;2232;9437;12188;10758;5428;12548;16845;37621;22;1386;9629;7052;3491;4421;5738;5881;43910;4;555;6698;8375;8914;985;7962;10416;18835;1;56;1169;2273;2782;1032;0;11522;42156;21;1385;13302;11825;8411;3800;87;3326;20540;4;500;1857;1329;1212;575;13614;1449
"69384";"82";"69";"691";"6999";"8214";"Lyon 4e Arrondissement";34988;33781;30555;30677;33204;39700;3;5747;;;;;3429;;;;;470;479;517;500;462;530;520;493;531;582;546;545;521;310;296;307;310;305;281;306;320;334;323;312;320;311;5790;7106;8340;6026;4171;3555;5506;7632;7709;5704;4171;3059;15969;2838;3265;4063;2761;1826;1132;84;3677;10101;2191;19019;2952;3840;4276;3265;2346;2042;297;3959;11323;3737;29191;8;903;6069;5838;3857;1615;6730;4172;28100;4;1017;4538;5108;3890;1949;6322;5272;13135;8;634;3365;2394;1134;1308;2724;1569;16056;0;269;2704;3444;2722;307;4006;2604;4284;0;16;190;510;591;271;0;2706;15271;5;672;5038;4724;2779;1160;24;870;9636;3;215;842;604;487;184;6706;595
"69385";"82";"69";"691";"6999";"8214";"Lyon 5e Arrondissement";46738;46972;46071;47372;48735;50400;6;6900;;;;;4624;;;;;641;620;594;577;616;626;618;617;635;643;665;689;620;415;445;433;423;411;415;373;400;478;449;424;407;411;6792;11743;8756;8269;6158;5020;7681;12045;9779;8088;5730;3649;21257;3465;5462;4377;3697;2596;1516;145;5112;13045;3099;25481;3328;6281;4378;4572;3562;2824;535;5134;14908;5439;39940;11;968;6245;6335;5563;2677;9754;8387;39043;4;1183;4943;6210;6212;2814;7756;9921;17840;11;700;3686;2874;1398;2162;3871;3138;22100;0;268;2559;3460;4164;516;5883;5249;8058;0;26;273;591;1028;443;0;5696;17861;0;685;4878;4899;3858;1934;42;1566;14022;11;257;1094;845;676;301;9712;1126
"69386";"82";"69";"691";"6999";"8214";"Lyon 6e Arrondissement";49088;48165;47664;48958;52590;68600;4;6895;;;;;4134;;;;;549;653;589;633;637;691;588;592;650;662;623;637;593;341;313;358;337;351;346;372;399;401;387;362;417;404;7249;12788;9937;7965;6038;5111;7167;12360;9581;8182;6240;4635;22327;3693;5948;4784;3636;2587;1581;98;5461;13679;3187;26761;3556;6840;5152;4329;3451;3068;363;5542;15730;5489;41832;27;1307;9975;6313;4726;1356;9173;8954;40759;6;1698;7383;5851;4643;1710;8759;10709;18627;8;951;5808;2583;1279;1070;3608;3321;23205;20;356;4167;3730;3447;286;5565;5633;8379;0;27;451;664;1001;306;0;5930;19815;8;986;8043;5010;3115;935;31;1686;13639;19;294;1480;639;610;116;9142;1338
"69387";"82";"69";"691";"6999";"8214";"Lyon 7e Arrondissement";71171;61716;53860;52119;57121;62200;10;11288;;;;;4697;;;;;1191;1244;1167;1116;1076;1131;1051;1060;985;965;933;942;862;400;394;431;417;406;424;412;415;475;478;425;436;378;9792;25634;15490;9680;6264;4311;8935;20832;12805;9303;6086;3755;34212;5077;11634;8251;4709;3061;1348;133;7165;23838;3209;36959;4715;14000;7239;4971;3203;2579;251;7517;24819;4623;61354;17;1344;9739;11790;10577;4934;9303;13652;52787;12;1420;5448;8220;9236;5136;8736;14579;29198;17;994;5733;5647;3211;4079;4049;5468;32156;0;349;4006;6142;7366;854;5254;8184;16514;0;53;1193;1985;2492;1075;0;9716;31290;12;1044;7576;8978;7211;3401;62;3007;13550;5;247;970;827;874;458;9241;928
"69388";"82";"69";"691";"6999";"8214";"Lyon 8e Arrondissement";78793;70276;64763;65773;71222;77100;7;13071;;;;;6654;;;;;1313;1283;1335;1248;1261;1258;1216;1203;1206;1130;1123;1058;1033;580;637;591;595;619;615;589;570;661;575;588;623;628;13081;22037;16233;12377;8428;6638;11442;19152;14362;11247;8973;5100;36606;6630;9951;8233;5916;3822;1929;125;9409;22969;4228;42187;6450;12085;7999;6461;4607;4062;523;9603;25274;7311;65716;29;1138;7016;10732;11475;7294;13658;14373;58770;4;1264;4000;8228;10121;7624;12812;14717;29916;25;955;4024;4898;3073;5987;5526;5428;35800;4;183;2991;5834;8402;1307;8132;8945;14676;0;38;559;1533;2177;1244;0;9125;32114;29;904;5754;8210;8208;5337;94;3577;18926;0;196;703;989;1090;713;13564;1671
"69389";"82";"69";"691";"6999";"8214";"Lyon 9e Arrondissement";48546;47029;47124;48167;53839;56900;7;9008;;;;;4135;;;;;880;863;850;864;891;909;848;807;779;811;756;740;753;365;356;373;364;348;365;371;383;412;376;373;383;387;8719;12313;10152;8029;5367;3966;9361;11366;10236;7880;5357;2829;23023;4474;5925;5140;3765;2364;1280;74;6098;14248;2676;25523;4245;6388;5013;4263;3002;2338;274;5842;15270;4411;39824;7;976;4346;6389;7321;4704;8197;7883;37645;4;996;2496;5088;7400;5820;7140;8701;18554;3;716;2644;3120;1895;3805;3337;3033;21271;4;260;1702;3269;5426;899;4860;4850;7828;0;46;243;813;1398;883;0;4446;20153;7;751;3543;5030;5137;3346;41;2298;11843;0;179;559;546;786;476;8156;1140
"75101";"11";"75";"751";"7599";"1101";"Paris 1er Arrondissement";17308;16895;18360;18509;22793;32332;2;2334;1924;1925;1681;2830;1221;1599;1942;1972;2493;226;222;212;203;185;236;220;231;189;217;199;226;216;113;126;91;103;101;94;114;102;127;119;114;122;134;1926;4107;4793;3135;2093;1255;1850;4551;4027;3260;2008;1199;8729;971;2005;2664;1611;1033;416;29;1294;6446;988;8579;955;2102;2129;1524;1060;663;147;1320;5840;1419;15380;15;827;5522;2152;1772;392;2348;2352;15129;16;908;4264;1928;2097;632;2508;2776;7758;8;528;3212;1044;714;344;977;929;7623;7;299;2310;1107;1058;48;1371;1423;2154;0;9;261;245;281;46;0;1312;8897;15;640;4455;1662;1160;292;1;672;4329;0;178;806;245;331;55;2347;368
